,SquareFeet,Bathrooms,Neighborhood,Bedrooms,Price
0,7420,2,yes,4,13300000.0
1,8960,4,no,4,12250000.0
2,9960,2,yes,3,12250000.0
3,7500,2,yes,4,12215000.0
4,7420,1,no,4,11410000.0
5,7500,3,yes,3,10850000.0
6,8580,3,yes,4,10150000.0
7,16200,3,no,5,10150000.0
8,8100,1,yes,4,9870000.0
9,5750,2,yes,3,9800000.0
10,13200,1,yes,3,9800000.0
11,6000,3,no,4,9681000.0
12,6550,2,yes,4,9310000.0
13,3500,2,no,4,9240000.0
14,7800,2,yes,3,9240000.0
15,6000,1,no,4,9100000.0
16,6600,2,yes,4,9100000.0
17,8500,2,no,3,8960000.0
18,4600,2,no,3,8890000.0
19,6420,2,yes,3,8855000.0
20,4320,1,no,3,8750000.0
21,7155,2,no,3,8680000.0
22,8050,1,no,3,8645000.0
23,4560,2,no,3,8645000.0
24,8800,2,no,3,8575000.0
25,6540,2,yes,4,8540000.0
26,6000,2,yes,3,8463000.0
27,8875,1,no,3,8400000.0
28,7950,2,no,5,8400000.0
29,5500,2,yes,4,8400000.0
30,7475,2,no,3,8400000.0
31,7000,1,no,3,8400000.0
32,4880,2,yes,4,8295000.0
33,5960,3,no,3,8190000.0
34,6840,1,no,5,8120000.0
35,7000,2,no,3,8080940.0
36,7482,2,yes,3,8043000.0
37,9000,2,no,4,7980000.0
38,6000,1,no,3,7962500.0
39,6000,2,no,4,7910000.0
40,6550,1,yes,3,7875000.0
41,6360,2,yes,3,7840000.0
42,6480,2,no,3,7700000.0
43,6000,2,no,4,7700000.0
44,6000,2,no,4,7560000.0
45,6000,2,no,3,7560000.0
46,6000,2,no,3,7525000.0
47,6600,1,yes,3,7490000.0
48,4300,2,no,3,7455000.0
49,7440,2,yes,3,7420000.0
50,7440,2,yes,3,7420000.0
51,6325,1,no,3,7420000.0
52,6000,2,no,4,7350000.0
53,5150,2,no,3,7350000.0
54,6000,2,no,3,7350000.0
55,6000,1,no,3,7350000.0
56,11440,1,yes,4,7343000.0
57,9000,2,yes,4,7245000.0
58,7680,2,no,4,7210000.0
59,6000,2,no,3,7210000.0
60,6000,2,no,3,7140000.0
61,8880,1,no,2,7070000.0
62,6240,2,no,4,7070000.0
63,6360,2,yes,4,7035000.0
64,11175,1,yes,3,7000000.0
65,8880,2,no,3,6930000.0
66,13200,1,no,2,6930000.0
67,7700,2,no,3,6895000.0
68,6000,1,no,3,6860000.0
69,12090,2,yes,4,6790000.0
70,4000,2,yes,3,6790000.0
71,6000,2,no,4,6755000.0
72,5020,1,yes,3,6720000.0
73,6600,2,yes,2,6685000.0
74,4040,1,no,3,6650000.0
75,4260,2,no,4,6650000.0
76,6420,2,yes,3,6650000.0
77,6500,2,yes,3,6650000.0
78,5700,1,yes,3,6650000.0
79,6000,2,no,3,6650000.0
80,6000,1,yes,3,6629000.0
81,4000,2,no,3,6615000.0
82,10500,2,yes,3,6615000.0
83,6000,2,no,3,6580000.0
84,3760,1,no,3,6510000.0
85,8250,2,no,3,6510000.0
86,6670,1,yes,3,6510000.0
87,3960,1,no,3,6475000.0
88,7410,1,yes,3,6475000.0
89,8580,3,no,5,6440000.0
90,5000,1,no,3,6440000.0
91,6750,1,yes,2,6419000.0
92,4800,2,no,3,6405000.0
93,7200,2,no,3,6300000.0
94,6000,2,no,4,6300000.0
95,4100,2,no,3,6300000.0
96,9000,1,yes,3,6300000.0
97,6400,1,yes,3,6300000.0
98,6600,2,yes,3,6293000.0
99,6000,1,yes,4,6265000.0
100,6600,2,yes,3,6230000.0
101,5500,1,yes,3,6230000.0
102,5500,2,no,3,6195000.0
103,6350,2,no,3,6195000.0
104,5500,2,yes,3,6195000.0
105,4500,1,no,3,6160000.0
106,5450,2,yes,4,6160000.0
107,6420,1,yes,3,6125000.0
108,3240,1,no,4,6107500.0
109,6615,2,no,4,6090000.0
110,6600,1,yes,3,6090000.0
111,8372,1,no,3,6090000.0
112,4300,2,no,6,6083000.0
113,9620,1,yes,3,6083000.0
114,6800,1,no,2,6020000.0
115,8000,1,yes,3,6020000.0
116,6900,2,yes,3,6020000.0
117,3700,1,no,4,5950000.0
118,6420,1,yes,3,5950000.0
119,7020,1,yes,3,5950000.0
120,6540,1,yes,3,5950000.0
121,7231,1,yes,3,5950000.0
122,6254,2,yes,4,5950000.0
123,7320,2,no,4,5950000.0
124,6525,2,no,3,5950000.0
125,15600,1,no,3,5943000.0
126,7160,1,yes,3,5880000.0
127,6500,2,no,3,5880000.0
128,5500,1,no,3,5873000.0
129,11460,1,yes,3,5873000.0
130,4800,1,no,3,5866000.0
131,5828,1,no,4,5810000.0
132,5200,1,no,3,5810000.0
133,4800,1,no,3,5810000.0
134,7000,1,yes,3,5803000.0
135,6000,2,no,3,5775000.0
136,5400,2,no,4,5740000.0
